feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15
0.5710512039337107,-0.0690609376792321,-1.0581605791344089,0.0071329792214693,3.304132842738515,-0.4114531064930479,-0.2519403706721725,3,1,1,0,0,0,1,5,3
-1.59495028271258,-0.4474193419405787,1.3449969452596344,0.1585746078948073,-0.5693506376457914,-0.4114531064930479,-0.2519403706721725,7,1,2,0,1,0,2,8,3
0.4768772262534372,0.1086230004330843,0.5038918117217194,0.6556137994380703,-0.5693506376457914,-0.4114531064930479,-0.2519403706721725,0,2,1,0,1,0,0,10,3
0.8535731369745312,4.128024173480272,0.263576059282315,-0.4899062123217937,-0.5693506376457914,-0.4114531064930479,-0.2519403706721725,4,1,1,0,1,0,0,9,3
1.7011389360969928,5.826367323163798,-1.2984763315738133,0.7915229533756812,-0.5693506376457914,-0.4114531064930479,-0.2519403706721725,10,1,0,0,0,0,0,3,3
0.5710512039337107,-0.4474193419405787,-0.3372133218161958,-0.1753735989233225,-0.5693506376457914,-0.4114531064930479,-0.2519403706721725,2,1,2,0,1,0,0,8,3
-1.2182543719914858,-0.2966671652426984,-1.5387920840132177,-0.3112827528609335,-0.5693506376457914,-0.4114531064930479,-0.2519403706721725,1,1,0,0,1,1,2,6,3
-1.029906416630939,0.0567300942930732,0.263576059282315,-0.7423089267773569,0.3990202324502852,-0.4114531064930479,-0.2519403706721725,0,2,2,0,0,0,0,1,3
0.5710512039337107,0.0140333993677476,-0.4573711980358981,-0.5093218057414524,-0.5693506376457914,-0.4114531064930479,-0.2519403706721725,3,0,0,0,0,0,2,6,3
-0.5590365282295715,-0.3038927597685227,0.1434181830626128,-0.5248542804771793,-0.5693506376457914,-0.4114531064930479,-0.2519403706721725,0,1,1,0,1,0,0,0,3
-0.7473844835901186,-0.4474193419405787,-1.1783184553541108,-0.5209711617932475,-0.5693506376457914,-0.4114531064930479,-0.2519403706721725,10,2,2,0,1,0,0,8,3
1.7011389360969928,-0.4474193419405787,1.2248390690399324,-0.5986335354718825,1.367391102546362,-0.4114531064930479,-0.2519403706721725,5,1,0,0,1,0,2,8,3
0.6652251816139841,-0.1971510224552088,-0.4573711980358981,-0.6879452652023125,0.3990202324502852,-0.4114531064930479,-0.2519403706721725,1,1,0,0,1,0,2,8,3
0.2885292708928901,0.3815534118403577,0.3837339355020172,-0.6840621465183807,-0.5693506376457914,-0.4114531064930479,-0.2519403706721725,0,2,1,0,0,0,2,6,3
0.0060073378520695,-0.3121036626387776,-1.5387920840132177,-0.4044776012752953,0.7218105224823107,-0.4114531064930479,-0.2519403706721725,7,1,2,0,1,0,2,6,3
2.2661828021786343,-0.3567709742529644,0.7442075641611237,-0.1132436999804146,-0.5693506376457914,-0.4114531064930479,-0.2519403706721725,5,1,0,0,0,0,0,0,3
-0.7473844835901186,0.0120627826788864,-0.4573711980358981,0.6905618675934561,0.3990202324502852,-0.4114531064930479,-0.2519403706721725,4,1,2,0,0,0,0,1,3
0.3827032485731636,-0.4474193419405787,0.1434181830626128,-0.5636854673164967,-0.2465603476137659,-0.4114531064930479,-0.2519403706721725,10,2,1,0,1,0,0,9,3
1.2302690476956253,-0.4257425583631057,-0.5775290742556002,-0.3539970583841826,-0.5693506376457914,-0.4114531064930479,-0.2519403706721725,0,1,1,0,1,0,0,9,3
0.0060073378520695,0.0567300942930732,-0.4573711980358981,0.011016097905401,-0.5693506376457914,3.2239067697802253,0.182197529943736,0,1,1,0,1,0,0,8,2
-0.5590365282295715,-0.3735212161082844,-1.1783184553541108,-0.3811788891717049,1.367391102546362,3.024161721633342,0.6163354305596446,1,1,1,0,1,0,0,8,0
-1.1240803943112123,-0.3226136183127039,-0.4573711980358981,-0.4044776012752953,-0.2465603476137659,-0.4114531064930479,-0.2519403706721725,10,1,1,0,0,1,2,8,3
0.7593991592942577,-0.2930543679797862,-0.8178448266950046,1.5564973341102344,-0.2465603476137659,-0.4114531064930479,-0.2519403706721725,7,0,1,0,1,0,2,8,3
4.0554883781038304,0.1043533309405517,-1.1783184553541108,-0.5636854673164967,0.7218105224823107,0.5672976294266795,1.050473331175553,5,0,0,0,0,0,1,11,1
-0.9357324389506656,-0.2533135980877524,0.6240496879414215,-0.3772957704877731,-0.2465603476137659,-0.4114531064930479,-0.2519403706721725,10,1,2,0,0,0,0,9,3
-1.6891242603928538,-0.3705652910749926,0.263576059282315,-0.8743349620310361,0.7218105224823107,3.1340214981141283,2.787024933639187,8,2,1,0,1,0,0,8,1
